radlex_code,preferred_description
RID43433,prostatic capsule of middle region of prostate
RID14053,polar part of left superior frontal gyrus
RID15361,articular branch of left sciatic nerve
RID47250,medial root trunk proper segment of C8 root of left median nerve
RID46469,c6 ventral column nucleus of right superior subscapular nerve
RID22788,anterior ramus of left sixth cervical nerve
RID44497,medial zone of inferior part of body of left scapula
RID37260,lamina of Brodmann area 26
RID13624,brodmann area 7 of superior parietal lobule
RID45090,nutrient branch of deep brachial artery
RID39008,right lacrimal gland
RID18162,right gracile fasciculus
RID41450,tendon of omohyoid
RID22936,posterior ramus of right third lumbar nerve
RID22624,trunk of right seventh intercostal nerve
RID24358,t1 branch to left multifidus
RID14852,nerve to palatopharyngeus
RID16567,neural network of female thorax
RID44514,muscle body of vastus medialis
RID12686,phase unwrapping
RID17403,t8 segment of left dorsal funiculus of spinal cord
RID48004,segment of trunk of anterior division of anterior ramus of fifth cervical nerve
RID44856,muscular branch of left inferior thyroid artery
RID11005,interventional procedure attribute
RID15935,neural tissue of right vestibulocochlear nerve
RID23420,branch of fifth intercostal nerve to transversus thoracis
RID37043,internal granular layer of right Brodmann area 14
RID35355,Luftsichel sign
RID31871,internal surface of renal pelvis
RID29843,back of trunk
RID26356,brodmann area 47 of subgyral segment of right frontal lobe
RID16585,neural network of left free upper limb
RID48753,eponychium of toe
RID29419,muscle layer of subdivision of superior minor calyx
RID23146,c4 branch to left scalenus medius
RID34809,anatomical line of bone
RID41415,tendon of stapedius
RID13684,brodmann area 18 of lingual gyrus
RID14503,nerve to right nasalis
RID38803,amylase
RID19620,short cerebral association nerve fasciculus of right cerebral white matter
RID40131,inferior part proper of body of left scapula
RID23774,s2 root of right perforating cutaneous nerve
RID36320,branch of anterior ciliary artery
RID18732,posterior root of right fourth thoracic nerve
RID48960,arcuate popliteal ligament
RID28414,dura mater of posterior rootlet of sacral nerve
RID24715,muscular branch of lateral branch of posterior ramus of thoracic nerve
RID40637,belly of fourth palmar interosseous of left hand
RID45350,peripheral segment of medial cutaneous nerve of left forearm
RID17292,white matter of gracile lobule
RID18055,right auditory radiation
RID26891,c7 segment of right substantia gelatinosa
RID10407,repair
RID48529,space of deep part of posterior compartment of left leg
RID19657,right cuneate fasciculus of medulla
RID28257,dura mater of anterior rootlet of right sixth cervical nerve
RID33461,set of intestinal villi of small intestine
RID20977,interstitial amygdaloid nucleus
RID20904,posterior lobe part of dentate nucleus
RID34977,pudendum
RID26221,brodmann area 37 of right middle temporal gyrus
RID23516,nerve to right tenth external intercostal muscle
RID45728,lucent
RID40185,anterior region of glenoidal rim of left scapula
RID24434,t5 branch to left semispinalis capitis
RID17495,t2 segment of right gracile fasciculus of spinal cord
RID16767,neural network of bony part of fourth metacarpal bone
RID45591,s1 root of right inferior gluteal nerve
RID30303,taenia coli of sigmoid colon
RID50692,T2b tumor stage
RID31606,left pyramidalis
RID15444,vascular branch of tibial nerve
RID45859,Dictated
RID22035,trunk of right phrenic nerve
RID43912,parietal tributary of right superficial temporal vein
RID11176,percutaneous
RID44042,peripheral segment of left second cervical spinal nerve
RID35453,popcorn calcification sign
RID10071,anterior notch of pinna
RID43150,first palmar interosseous of right hand
RID43375,Fluorine-18 AV-45
RID21009,parapeduncular nucleus
RID10403,thrombolysis
RID31137,taenia libera
RID45585,root of obturator nerve
RID26873,c1 segment of right substantia gelatinosa
RID42639,anterior surface of left teres major
RID46592,belly of left extensor hallucis brevis
RID47963,root of left lateral femoral cutaneous nerve
RID22248,trunk of muscular branch of posterior branch of right obturator nerve
RID30035,subdivision of scrotum
RID42330,transverse head of left adductor pollicis
RID842,esophageal branch of inferior thyroid artery
RID37237,internal pyramidal layer of left Brodmann area 24
RID39473,perfusion alteration
RID49239,area of insertion of left gluteus maximus
RID48829,intermediate nail matrix of right fourth toe
RID22990,meningeal branch of first thoracic nerve
RID33011,left medial division of liver
RID14251,communicating branch of right greater palatine nerve to with right nasopalatine nerve
RID35575,squeeze sign
RID47317,pre-brachial plexus segment of C8 component of left median nerve
RID21010,anterior periventricular nucleus
RID12683,phase reconstruction
RID23001,meningeal branch of left fourth thoracic nerve
RID26730,segment of cochlear nuclear complex
RID18225,medial proper palmar digital branch of left median nerve to left middle finger
RID46299,anterior division of anterior ramus of left eighth cervical nerve
RID29225,apex of heart
RID24890,muscular branch of lateral branch of posterior ramus of lumbar nerve
RID44015,thoraco-acromial vein
RID45718,videography
RID11209,laparascopic
RID22001,trunk of communicating branch of cervical nerve plexus with sympathetic trunk
RID41365,tendon of third interspinalis cervicis
RID45517,c6 root of superior subscapular nerve
RID11578,satisfactory drainage from catheter
RID20973,basal amygdaloid nucleus
RID39407,zone of talus
RID14512,communicating branch of superficial buccal branch of right facial nerve with right external nasal nerve
RID36877,multiform layer of Brodmann area 5
RID30230,posterior wall of pylorus
RID30523,solitary lymphoid follicle of duodenum
RID42127,medial lip of right bicipital groove
RID20087,cardiac branch to cardiac plexus
RID36028,BI-RADS Category 1: Negative
RID37079,external pyramidal layer of left Brodmann area 16
RID14940,deep communicating lateral branch of right cervical nerve plexus to right spinal accessory nerve
RID15955,neural tissue of cranial nerve-tract complex
RID40961,dorsal ligament of fifth carpometacarpal joint
RID34861,object
RID19346,neuroglial network of L1 segment of spinal cord
RID19822,left fourth sacral spinal ganglion
RID19639,right subcallosal fasciculus
RID31900,parietal lymph node group of abdomen proper
RID25554,iliac branch of left iliohypogastric nerve
RID32180,lumen of left inferior major calyx
RID14318,branch of left masseteric nerve to left temporomandibular joint
RID49833,truth descriptor
RID36188,right great cerebral vein
RID13574,segment of Brodmann area 40
RID50221,Posterolateral part of right side of apical part of peripheral zone of prostate
RID21693,trunk of communicating branch of recurrent laryngeal nerve with internal laryngeal nerve
RID46808,musculocutaneous nerve component of trunk proper of anterior ramus of right sixth cervical nerve
RID14992,nerve to flexor pollicis longus
RID28536,subpleural curvilinear line
RID15986,segment of pia-arachnoid
RID31639,mesothelium of serosa of right uterine tube
RID24431,t5 branch to left semispinalis thoracis
RID22941,posterior ramus of fifth lumbar nerve
RID23380,nerve to left second internal intercostal muscle
RID42936,distal metaphysis of right fifth metatarsal bone
RID38529,lateral cutaneous branch of ventral branch of left third lumbar artery
RID19118,rootlet of left eighth thoracic nerve
RID26374,region of auditory cortex
RID47640,medial antebrachial cutaneous nerve component of trunk of anterior ramus of first thoracic nerve
RID35901,subdivision of cavernous part of internal carotid artery
RID29675,celiac lymphatic chain
RID31478,region of surface of gallbladder
RID47001,radial nerve component of trunk of anterior ramus of left eighth cervical nerve
RID34993,absent gastric air bubble sign
RID46004,bronchial tree
RID49244,area of insertion of adductor brevis
RID50586,extracellular contrast agent
RID10626,smooth kernel
RID43693,optic foramen
RID46964,posterior cord segment of C7 root of left radial nerve
RID26094,brodmann area 24 of cingulate gyrus
RID39960,spine of right scapula
RID13759,intima pia
RID47697,medial pectoral nerve component of trunk of anterior division of anterior ramus of eighth cervical nerve
RID24322,muscular branch of medial branch of posterior ramus of seventh cervical nerve
RID24089,branch of posterior ramus of lumbar nerve
RID13666,brodmann area 11 of superior frontal gyrus
RID47103,median nerve component of posterior root of right sixth cervical nerve
RID36945,external pyramidal layer of right Brodmann area 9
RID44782,right pericardial artery
RID49373,semimembranous bursa
RID49849,percutaneous drainage tube
RID37974,muscular tributary of ventral tributary of third lumbar vein
RID47013,radial nerve component of anterior root of left eighth cervical nerve
RID47665,medial brachial cutaneous nerve component of trunk of anterior ramus of first thoracic nerve
RID35551,small orbit sign
RID19129,rootlet of right twelfth thoracic nerve
RID24224,lateral cutaneous branch of medial branch of posterior ramus of thoracic nerve
RID42100,superior surface of neck of scapula
RID17267,white matter of midbrain tectum
RID16084,vasculature of gray matter of S2 segment
RID24211,medial cutaneous branch of medial branch of posterior ramus of left eighth thoracic nerve
RID36626,gray matter of right side nodule of vermis of cerebellum
RID24503,medial branch of posterior ramus of tenth thoracic nerve to longissimus thoracis
RID33245,subsegment of caudate lobe of liver
RID39878,distal epiphysis of left first metatarsal bone
RID17754,c6 segment of left lateral corticospinal tract
RID39709,proximal epiphysis of distal phalanx of right thumb
RID14437,branch of left facial nerve to posterior belly of left digastric
RID11804,titanium
RID25533,mons pubis branch of right ilioinguinal nerve
RID50558,axial dorsoplantar calcaneus view
RID39735,proximal epiphysis of middle phalanx of ring finger
RID36302,zygomatic branch of right lacrimal artery
RID30994,external surface of right lateral wall of urinary bladder
RID45331,peripheral segment of right phrenic nerve
RID45539,c5 root of right suprascapular nerve
RID18181,white matter of T7 segment of spinal cord
RID40738,belly of left teres minor
RID10183,stapedial membrane
RID45095,left superficial brachial artery
RID48683,skin of left fourth toe
RID39866,distal epiphysis proper of fibula
RID32204,lumen of left posterior intermediate minor calyx
RID37364,external pyramidal layer of left Brodmann area 31
RID34063,t5 segment of left anterior corticospinal tract
RID11711,Indium-111 satumomab pendetide
RID20064,lateral branch of superior cervical ganglion
RID27620,white matter of left gyrus descendens of Ecker
RID38196,lobar branch of inferior segmental renal artery
RID44972,pectoral branch of left thoraco-acromial artery
RID13874,segment of cerebral lobe
RID43131,extrinsic muscle of palm of hand
RID10889,endocavitary transducer
RID48637,skin of posterior part of left leg
RID40866,oblique cord of left radio-ulnar syndesmosis
RID46157,trunk of posterior ramus of right first thoracic nerve
RID29190,third sacral vertebra
RID32400,right seventh posterior cervical intertransversarius
RID24240,lateral cutaneous branch of medial branch of posterior ramus of sixth thoracic nerve
RID29907,nipple of right female breast
